ix,iy,icloudy,icol,irow,x,y,MASL,land_percent,nwl,wl,nip,meas_type,nbvm,sza,vza,raa,meas,ifcov,ifmp,NPIXELS,TIMESTAMP,HEIGHT_OBS,NSURF,IFGAS
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,49.7007,34.8049,0.345448,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,42.9192,33.3198,0.345029,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,34.8226,30.8598,0.340719,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,25.3404,26.083,0.331559,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,14.9389,13.6752,0.317124,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,7.16631,319.94,0.305476,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,13.2246,253.736,0.290115,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,23.6392,238.431,0.285258,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,33.328,232.981,0.281871,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,41.6634,230.245,0.276668,0,0,4,2008-01-04T13:15:01Z,705000,0,0
1,1,1,1376,3286,2.601,13.583,241.000,100,6,0.865,3,41,13,41.448002,48.6446,228.638,0.274846,0,0,4,2008-01-04T13:15:01Z,705000,0,0
